Frage;Richtige Antwort;Falsche Antwort 1;Falsche Antwort 2;Fragentypus
Die Geschäftsfähigkeit ist abhängig von ANTWORT1 und ANTWORT2. Damit ist sie sowohl von einer generell-abstrakten als auch einer individuell-konkreten Eigenschaft abhängig.;Alter, Geisteszustand;;;Lückentext
Voll geschäftsfähig ist der geistig gesunde;Volljährige ;Mensch ab einem Alter von 14 Jahren;Mensch ab einem Alter von 7 Jahren;Multiple Choice
Minderjährige sind nach dem ABGB Personen, die das;achtzehnte Lebensjahr noch nicht vollendet haben;das vierzehnte Lebensjahr noch nicht vollendet haben;das einundzwanzigste Lebensjahr noch nicht vollendet haben;Multiple Choice
Die Lehre unterteilt mit Hinblick auf die Geschäftsfähigkeit Minderjährige in folgende Gruppen;Kinder (unter 7), unmündige Minderjährige (unter 14) und mündige Minderjährige (ab 14) ;Kinder und Kleinkinder;Kinder und junge Erwachsene;Multiple Choice
Thomas befindet sich im achtzehnten Lebensjahr, er ist daher;"unter 18 Jahre alt und daher minderjährig; ein mündiger Minderjähriger";18 Jahre alt und daher volljährig;unter 18 Jahre alt und ein unmündiger Minderjähriger;Multiple Choice
Marie wurde am 15.06.2004 geboren. Welche juristische Terminus trifft auf sie mit Hinblick auf die Geschäftsfähigkeit zu?;"Sie ist minderjährig; eine mündige Minderjährige";Sie ist volljährig;Sie ist ein unmündiger Teenager;Multiple Choice
Das ABGB stellt für Minderjährige folgenden Grundsatz auf;Ohne ausdrückliche oder stillschweigende Einwilligung seines gesetzlichen Vertreters kann der Minderjährige rechtsgeschäftlich weder verfügen noch sich verpflichten.;Der Minderjährige kann eigenständig rechtsgeschäftlich verfügen und sich verpflichten;Nur wenn der Minderjährige besonders unreif erscheint, braucht es für gültige Rechtsgeschäfte mit ihm die Einwilligung seines gesetzlichen Vertreters;Multiple Choice
"Auch wenn die Geschäfsfähigkeit zum Wohl des Kindes eingeschränkt wird, darf das nicht darüber hinwegtäuschen, dass Kinder über etliche starke Rechte verfügen - das weltweit. Die Kinderrechtekonvention (kurz KRK) sichert jedem Kind (Kind im Sinne der KRK ist jeder Mensch unter 18) persönliche, wirtschaftliche und kulturelle Rechte zu. Die Kinderrechtekonvention wurde von allen Mitgliedstaaten der Vereinten Nationen mit Ausnahme von Somalia und den USA ratifiziert und gilt damit als erfolgreichster Völkerrechtsvertrag aller Zeiten. Die Republik Österreich ratiziferte die Konvention 1992. Sie ist seitdem verpflichtet, sich an die Konvention zu halten und die darin enthaltenen Kinderrechte zu achten und schützen.  Die zentralen Bestimmungen des UN-Übereinkommens wurden vom Nationralrat zusätzlich mit dem ""Bundesverfassungsgesetz über die Rechte von Kindern"" in den Verfassungsrang erhoben.  Artikel 3 dieses BVG besagt: Jedes Kind hat das Recht auf angemessene Beteiligung und Berücksichtigung seiner Meinung in allen das Kind betreffenden Angelegenheiten, in einer seinem Alter und seiner Entwicklung entsprechenden Weise. Berücksichtigt das ABGB diese Gedanken auch bei der Geschäftsfähigkeit?";Ja! Zwar darf sich ein mündiger Minderjähriger nicht selbständig zu Lehr- und Ausbildungsverträgen verpflichten, sein Wunsch ist aber vom gesetzlichen Vertreter zu berücksichtigen. Tut der Vertreter das nicht, kann der Minderjährige das Gericht einschalten, das dann zum Wohl des Kindes angemessen entscheiden muss. Das steht im ABGB.;"Nein, das ABGB enthält nur den Grundsatz ""Wer unter 18 ist, ist geschäftsunfähig."" und äußert sich sonst nicht weiter auf die Rücksichtnahme des Kindeswunsches.";Das ABGB berücksichtigt den Kinderwillen bei medizinischen Behandlungen, aber bei sonstigen allgemeinen Rechtsgeschäften nimmt es keine Rücksicht.;Multiple Choice
Die Schenkung ist ein zweiseitiges Rechtsgeschäft, ein Vertrag – und zwar Schuldvertrag – und bedarf daher der Annahme. Man muss sich also nichts schenken lassen. Kinder sind allerdings völlig geschäftsunfähig, können sich also auch nicht rechtsgeschäftlich berechtigen. Kann das Kind (Person unter 7)trotzdem rechtswirksam eigenständig eine Schenkung annehmen?;Ja! Ein bloß zu ihrem Vorteil gemachtes Versprechen kann jede Person annehmen. Das steht im ABGB.  Voraussetzung  dafür ist freilich irgendeine nach außen tretende„Annahme“, also irgendein Willensakt.;Nein, das würde dem Grundsatz, dass Kinder völlig geschäftsunfähig sind, widersprechen. ;;Multiple Choice klein
Kinder sind völlig geschäftsunfähig. Die 6-jährige Lisa kauft sich um ihr Taschengeld ein Comicheft. Ist der Vertrag gültig?;Ja! Schließt ein Kind ein Rechtsgeschäft, das von Minderjährigen seines Alters üblicherweise geschlossen wird und eine geringfügige Angelegenheit des täglichen Lebens betrifft, so wird dieses Rechtsgeschäft mit der Erfüllung der das Kind treffenden Pflichten rückwirkend rechtswirksam. ;Nein, das würde dem Grundsatz, dass Kinder völlig geschäftsunfähig sind, widersprechen. ;;Multiple Choice klein
"Die 6-jährige Lisa kauft sich Zigaretten. Unabhängig von öffentl.-rechtl. Jugendschutzvorschriften - wäre dieser Vertrag ""rein zivilrechtlich"" gültig?";"Nein, das würde dem Grundsatz, dass Kinder völlig geschäftsunfähig sind, widersprechen. Der Tatbestand der Ausnahme von diesem Grundsatz ist nicht gegeben, weil kein ""altersübliches"" Rechtsgeschäft vorliegt.";"Ja, der Kauf einer Packung Zigaretten ist nur ein ""geringfügiges Geschäft des täglichen Lebens""";;Multiple Choice klein
Der 7-jährige Jonas kauft sich um € 250 ein Fahrrad. Ist dieses Rechtsgeschäft absolut nichtig?;Nein. Anders als bei Kindern sind von unmündigen Minderjährigen geschlossene Rechtsgeschäfte bloß schwebend unwirksam. Bis zur Entscheidung des gesetzlichen Vertreters ist der Geschäftspartner gebunden.;"Ja. Es gilt der Grundsatz: Minderjährige sind geschäftsunfähig sind; von ihnen geschlossene Geschäfte sind absolut nichtig.";;Multiple Choice klein
Was passiert, wenn ein unmündiger Minderjähriger ein Geschäft abschließt - sein gesetzlicher Vertreter aber erst später diesem zustimmt?;Der Vertrag kommt durch die nachträgliche Genehmigung wirksam zustande. Das Rechtsgeschäft wird rückwirkend rechtswirksam.;Das Geschäft war von Anfang an absolut nichtig. Da ist nichts mehr zu retten. ;;Multiple Choice klein
Die 8-jährige Leonie hat sich eine Menge Taschengeld angespart. Sie will sich das teure Parfüm N° 5 von Chanel für € 100 kaufen. Kann sie das eigenständig?;"Nein. Würde sie sich das Parfüm kaufen, wäre das Geschäft ""schwebend unwirksam""; nur mit der Zustimmung ihres gesetzlichen Vertreters könnte sie dann das Parfüm ihr eigen nennen. ";Ja. Mit Sachen, die ihr zur freien Verfügung überlassen worden sind, darf sie tun, was sie möchte.  ;;Multiple Choice klein
"Die 14-jährige Marie hat vom Vorhaben ihrer Schwester Leonie, sich N° 5 von Chanel für € 100 zu kaufen, erfahren. Sie schlägt ihr Sparschwein auf und marschiert zielgerichtet in die nächste Douglas-Filiale; sie will das Parfüm vor ihrer Schwester haben. Wie sieht es bei ihr aus?";Nach erreichter Mündigkeit (ab 14) kann der Minderjährige über Sachen, die ihm zur freien Verfügung überlassen worden sind, und über sein Einkommen aus eigenem Erwerb so weit verfügen und sich verpflichten, als dadurch nicht die Befriedigung seiner Lebensbedürfnisse gefährdet wird. ;Ohne Zustimmung ihrer Eltern geht da nichts.  ;;Multiple Choice klein
Der 16-jährige Johannes will sich seine Ersparnisse mit Kellnern in den Sommerferien aufbessern. Braucht er dazu die elterliche Zustimmung?;Nein. Ganz entmachtet sind die Eltern aber nicht. Sie können das Rechtsverhältnis vorzeitig lösen, wenn wichtige Gründe vorliegen. Bspw: Johannes wird im Lokal von anderen Mitarbeitern zum Alkoholkonsum verleitet. ;Ja, die Eltern müssen bis 18 bei jedem Arbeitsvertrag zustimmen. Sonst kommt er nicht gültig zustande. ;;Multiple Choice klein
Kann sich der 16-jährige Markus selbständig zu Lehr- und Ausbildungsverträgen verpflichten?;Nein! Hiezu muss der gesetzliche Vertreter zwingend zustimmen. ;Ja, kann er.;;Multiple Choice klein
"Mit 17 will Markus seine Schlosserlehre hinschmeißen, er ""hat keinen Bock mehr"". Braucht er die elterliche Zustimmung, um seine Lehre zu beenden?";Ja, auch bei Beendigung eines Lehr- oder Ausbildungsvertrags braucht der mündige Minderjährige die Zustimmung seines gesetzlichen Vertreters. ;Wenn er keine Lust hat, kann er sich selbständig aus dem Lehrvertrag lösen.;;Multiple Choice klein
